28551,Forslag til FORORDNING om prospekt når værdipapirer udbydes eller optages til handel (Prospektdirektivet),2023-01-04 15:44:03.000,7
28554,UFO alm. del,2023-04-19 13:30:21.617,4
28592,Om udlevering af grundloven.,2025-01-15 15:50:20.793,5
28743,"Om psykisk syge, der begår personfarlig kriminalitet.",2024-10-28 13:29:07.267,3
28749,Om børneattest ved ansættelse af personale.,2024-10-28 13:35:29.560,3
28847,Om overvågning og folks tryghed.,2024-10-25 15:17:56.787,2
29364,Indførelse af en europæisk betalingspåbudsprocedure,2023-01-25 12:57:52.227,7
29554,"Om individuel handicapkørsel, rejsekort og rejseplan.",2025-04-09 13:39:35.067,3
30658,Om et røgfrit Folketing.,2025-01-15 15:49:21.373,5
31177,Om motorvej mellem Åbenrå og Sønderborg.,2023-04-19 08:26:55.687,10
31207,Om retssikkerhed og administration på det sociale område.,2024-09-23 13:22:50.990,3
31629,Om overvågning.,2024-10-25 15:08:15.390,5
31652,Om obligatorisk hvervregistrering.,2025-01-15 15:48:29.573,5
31824,Om statsrevisorernes valg og virksomhed.,2025-01-15 15:47:30.773,5
31826,"Om Folketingets Ombudsmand, konsekvenser af kommunalreformen m.v.",2025-01-16 09:06:47.600,3
31828,"Om Rigsrevisor, konsekvensrettelse som følge af kommunalreformen m.v.",2025-01-15 16:20:55.317,3
32092,Om orlov til ministre.,2025-01-15 15:46:20.143,5
32141,Om børneattest.,2024-10-28 13:36:48.687,3
32321,Om bedre velfærd for søer og pattegrise i svineproduktionen.,2024-03-22 11:23:02.523,5
32780,Om dansk bidrag til en multinational sikringsstyrke i Irak.,2024-02-08 15:13:58.527,5
33176,Om oprettelse af et ligestillingsudvalg.,2025-01-15 15:45:28.283,5
34594,Finansieringen af Den Europæiske Unions Solidaritetsfond om budgetdisciplin og forbedring af budgetproceduren,2023-02-02 15:20:43.963,7
34745,Aftalen om videnskabeligt og teknologisk samarbejde mellem EU og Det Schweiziske Forbund,2023-01-31 16:28:35.413,7
36778,Om erhvervsdrivende virksomheders aflæggelse af årsregnskab m.v.,2025-04-09 13:28:19.730,3
37006,Forslag til forordning om fremsendelse af data om fiskerivarer i medlemsstaterne,2025-03-25 15:58:13.913,7
37131,Foreløbigt forslag til De Europæiske Fællesskabers almindelige budget for regnskabsåret 2006,2023-01-31 16:36:32.927,7
37220,Forslag til Rådets afgørelse om undertegnelse af traktaten om energifællesskabet,2024-12-13 12:11:26.207,7
37622,"Meddelelse vedr. balancer og regnskaber for den 6., 7., 8. og 9. Europæiske Udviklingsfond for regnskabsåret 2004",2023-01-31 15:57:51.863,7
37626,Forslag til direktiv om perfluoroktansulfonater (PFOS),2023-01-26 09:36:20.837,7
37682,Forslag om indgåelse af en aftale mellem Det Europæiske Fællesskab og USA om handel med vin,2023-01-25 16:22:21.013,7
38614,Forslag om betalingstjenester i det indre marked (PSD 1),2024-01-03 14:39:03.093,7
38634,Meddelelse om bekæmpelse af hiv/aids i EU og EU's nabolande i perioden 2006-2009,2023-01-25 13:48:17.777,7
39047,Forslag til forordning om kompetence og samarbejde m.m. om underholdspligt (Underholdspligtforordningen),2024-10-07 14:35:29.110,7
39120,Forslag til direktiv om tv-spredningsvirksomhed (TV uden grænser),2023-03-20 14:18:31.163,7
39328,Om nedsættelse af et Ligestillingsudvalg.,2025-01-15 15:44:23.807,5
39573,Om terrorbekæmpelse.,2024-10-25 15:21:26.397,11
39592,Om nedsættelse af et udvalg vedrørende færøske forhold.,2025-01-15 15:43:34.077,5
